Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 1590 | Loss: -1208.269 | lengthscale: 0.281 | outputscale: 2.946 | noise: 0.099
Iter 1600 | Loss: -1208.274 | lengthscale: 0.281 | outputscale: 2.941 | noise: 0.099
Iter 1610 | Loss: -1208.285 | lengthscale: 0.281 | outputscale: 2.936 | noise: 0.099
Iter 1620 | Loss: -1208.280 | lengthscale: 0.280 | outputscale: 2.931 | noise: 0.099
Iter 1630 | Loss: -1208.237 | lengthscale: 0.280 | outputscale: 2.926 | noise: 0.099
Iter 1640 | Loss: -1208.245 | lengthscale: 0.280 | outputscale: 2.921 | noise: 0.099
Iter 1650 | Loss: -1208.235 | lengthscale: 0.280 | outputscale: 2.917 | noise: 0.099
Iter 1660 | Loss: -1208.239 | lengthscale: 0.280 | outputscale: 2.912 | noise: 0.099
Iter 1670 | Loss: -1208.285 | lengthscale: 0.280 | outputscale: 2.907 | noise: 0.099
Iter 1680 | Loss: -1208.258 | lengthscale: 0.280 | outputscale: 2.902 | noise: 0.099
Iter 1690 | Loss: -1208.303 | lengthscale: 0.280 | outputscale: 2.897 | noise: 0.099
Iter 1700 | Loss: -1208.299 | lengthscale: 0.280 | outputscale: 2.892 | noise: 0.099
Iter 1710 | Loss: -1208.322 | lengthscale: 0.279 | outputscale: 2.887 | noise: 0.099
Iter 1720 | Loss: -1208.300 | lengthscale: 0.279 | outputscale: 2.882 | noise: 0.099
Iter 1730 | Loss: -1208.326 | lengthscale: 0.279 | outputscale: 2.877 | noise: 0.099
Iter 1740 | Loss: -1208.323 | lengthscale: 0.279 | outputscale: 2.872 | noise: 0.099
Iter 1750 | Loss: -1208.378 | lengthscale: 0.279 | outputscale: 2.868 | noise: 0.099
Iter 1760 | Loss: -1208.385 | lengthscale: 0.279 | outputscale: 2.863 | noise: 0.099
Iter 1770 | Loss: -1208.365 | lengthscale: 0.279 | outputscale: 2.858 | noise: 0.099
Iter 1780 | Loss: -1208.400 | lengthscale: 0.279 | outputscale: 2.853 | noise: 0.099
Iter 1790 | Loss: -1208.317 | lengthscale: 0.278 | outputscale: 2.848 | noise: 0.099
Iter 1800 | Loss: -1208.437 | lengthscale: 0.278 | outputscale: 2.843 | noise: 0.099
Iter 1810 | Loss: -1208.351 | lengthscale: 0.278 | outputscale: 2.838 | noise: 0.099
Iter 1820 | Loss: -1208.391 | lengthscale: 0.278 | outputscale: 2.834 | noise: 0.099
Iter 1830 | Loss: -1208.385 | lengthscale: 0.278 | outputscale: 2.829 | noise: 0.099
Iter 1840 | Loss: -1208.420 | lengthscale: 0.278 | outputscale: 2.824 | noise: 0.099
Iter 1850 | Loss: -1208.395 | lengthscale: 0.278 | outputscale: 2.819 | noise: 0.099
Iter 1860 | Loss: -1208.425 | lengthscale: 0.278 | outputscale: 2.814 | noise: 0.099
Iter 1870 | Loss: -1208.433 | lengthscale: 0.278 | outputscale: 2.809 | noise: 0.099
Iter 1880 | Loss: -1208.408 | lengthscale: 0.277 | outputscale: 2.805 | noise: 0.099
Iter 1890 | Loss: -1208.438 | lengthscale: 0.277 | outputscale: 2.800 | noise: 0.099
Iter 1900 | Loss: -1208.455 | lengthscale: 0.277 | outputscale: 2.795 | noise: 0.099
Iter 1910 | Loss: -1208.479 | lengthscale: 0.277 | outputscale: 2.790 | noise: 0.099
Iter 1920 | Loss: -1208.469 | lengthscale: 0.277 | outputscale: 2.786 | noise: 0.099
Iter 1930 | Loss: -1208.496 | lengthscale: 0.277 | outputscale: 2.781 | noise: 0.099
Iter 1940 | Loss: -1208.488 | lengthscale: 0.277 | outputscale: 2.777 | noise: 0.099
Iter 1950 | Loss: -1208.476 | lengthscale: 0.277 | outputscale: 2.773 | noise: 0.099
Iter 1960 | Loss: -1208.487 | lengthscale: 0.276 | outputscale: 2.768 | noise: 0.099
Iter 1970 | Loss: -1208.526 | lengthscale: 0.276 | outputscale: 2.764 | noise: 0.099
Iter 1980 | Loss: -1208.464 | lengthscale: 0.276 | outputscale: 2.759 | noise: 0.099
Iter 1990 | Loss: -1208.441 | lengthscale: 0.276 | outputscale: 2.755 | noise: 0.099
Iter 2000 | Loss: -1208.503 | lengthscale: 0.276 | outputscale: 2.750 | noise: 0.099
Iter 2010 | Loss: -1208.506 | lengthscale: 0.276 | outputscale: 2.746 | noise: 0.099
Iter 2020 | Loss: -1208.523 | lengthscale: 0.276 | outputscale: 2.741 | noise: 0.099
Iter 2030 | Loss: -1208.516 | lengthscale: 0.276 | outputscale: 2.737 | noise: 0.099
Iter 2040 | Loss: -1208.525 | lengthscale: 0.276 | outputscale: 2.732 | noise: 0.099
Iter 2050 | Loss: -1208.504 | lengthscale: 0.275 | outputscale: 2.728 | noise: 0.099
Iter 2060 | Loss: -1208.539 | lengthscale: 0.275 | outputscale: 2.724 | noise: 0.099
Iter 2070 | Loss: -1208.501 | lengthscale: 0.275 | outputscale: 2.719 | noise: 0.099
Iter 2080 | Loss: -1208.580 | lengthscale: 0.275 | outputscale: 2.715 | noise: 0.099
Iter 2090 | Loss: -1208.517 | lengthscale: 0.275 | outputscale: 2.710 | noise: 0.099
Iter 2100 | Loss: -1208.618 | lengthscale: 0.275 | outputscale: 2.706 | noise: 0.099
Iter 2110 | Loss: -1208.548 | lengthscale: 0.275 | outputscale: 2.701 | noise: 0.099
Iter 2120 | Loss: -1208.556 | lengthscale: 0.275 | outputscale: 2.697 | noise: 0.099
Iter 2130 | Loss: -1208.571 | lengthscale: 0.275 | outputscale: 2.693 | noise: 0.099
Iter 2140 | Loss: -1208.538 | lengthscale: 0.275 | outputscale: 2.689 | noise: 0.099
Iter 2150 | Loss: -1208.578 | lengthscale: 0.274 | outputscale: 2.684 | noise: 0.099
Iter 2160 | Loss: -1208.571 | lengthscale: 0.274 | outputscale: 2.680 | noise: 0.099
Iter 2170 | Loss: -1208.591 | lengthscale: 0.274 | outputscale: 2.676 | noise: 0.099
Iter 2180 | Loss: -1208.594 | lengthscale: 0.274 | outputscale: 2.672 | noise: 0.099
Iter 2190 | Loss: -1208.586 | lengthscale: 0.274 | outputscale: 2.668 | noise: 0.099
Iter 2200 | Loss: -1208.600 | lengthscale: 0.274 | outputscale: 2.664 | noise: 0.099
Iter 2210 | Loss: -1208.607 | lengthscale: 0.274 | outputscale: 2.660 | noise: 0.099
Iter 2220 | Loss: -1208.655 | lengthscale: 0.274 | outputscale: 2.656 | noise: 0.099
Iter 2230 | Loss: -1208.651 | lengthscale: 0.274 | outputscale: 2.652 | noise: 0.099
