Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 1490 | Loss:  304.996 | lengthscale: 290.080 | outputscale: 1.019 | noise: 0.289
Iter 1500 | Loss:  304.842 | lengthscale: 292.628 | outputscale: 1.023 | noise: 0.289
Iter 1510 | Loss:  304.693 | lengthscale: 295.174 | outputscale: 1.028 | noise: 0.289
Iter 1520 | Loss:  304.547 | lengthscale: 297.719 | outputscale: 1.032 | noise: 0.289
Iter 1530 | Loss:  304.403 | lengthscale: 300.263 | outputscale: 1.037 | noise: 0.289
Iter 1540 | Loss:  304.259 | lengthscale: 302.807 | outputscale: 1.041 | noise: 0.289
Iter 1550 | Loss:  304.118 | lengthscale: 305.353 | outputscale: 1.046 | noise: 0.289
Iter 1560 | Loss:  303.989 | lengthscale: 307.903 | outputscale: 1.050 | noise: 0.289
Iter 1570 | Loss:  303.850 | lengthscale: 310.459 | outputscale: 1.055 | noise: 0.289
Iter 1580 | Loss:  303.719 | lengthscale: 313.022 | outputscale: 1.059 | noise: 0.289
Iter 1590 | Loss:  303.589 | lengthscale: 315.597 | outputscale: 1.064 | noise: 0.289
Iter 1600 | Loss:  303.463 | lengthscale: 318.185 | outputscale: 1.068 | noise: 0.289
Iter 1610 | Loss:  303.333 | lengthscale: 320.788 | outputscale: 1.073 | noise: 0.289
Iter 1620 | Loss:  303.210 | lengthscale: 323.411 | outputscale: 1.077 | noise: 0.289
Iter 1630 | Loss:  303.085 | lengthscale: 326.055 | outputscale: 1.082 | noise: 0.289
Iter 1640 | Loss:  302.960 | lengthscale: 328.724 | outputscale: 1.086 | noise: 0.289
Iter 1650 | Loss:  302.835 | lengthscale: 331.420 | outputscale: 1.091 | noise: 0.289
Iter 1660 | Loss:  302.706 | lengthscale: 334.147 | outputscale: 1.095 | noise: 0.289
Iter 1670 | Loss:  302.587 | lengthscale: 336.908 | outputscale: 1.100 | noise: 0.289
Iter 1680 | Loss:  302.457 | lengthscale: 339.703 | outputscale: 1.105 | noise: 0.289
Iter 1690 | Loss:  302.333 | lengthscale: 342.538 | outputscale: 1.109 | noise: 0.289
Iter 1700 | Loss:  302.209 | lengthscale: 345.414 | outputscale: 1.114 | noise: 0.289
Iter 1710 | Loss:  302.078 | lengthscale: 348.335 | outputscale: 1.118 | noise: 0.289
Iter 1720 | Loss:  301.954 | lengthscale: 351.301 | outputscale: 1.123 | noise: 0.289
Iter 1730 | Loss:  301.825 | lengthscale: 354.315 | outputscale: 1.127 | noise: 0.289
Iter 1740 | Loss:  301.695 | lengthscale: 357.381 | outputscale: 1.132 | noise: 0.289
Iter 1750 | Loss:  301.566 | lengthscale: 360.498 | outputscale: 1.136 | noise: 0.289
Iter 1760 | Loss:  301.436 | lengthscale: 363.669 | outputscale: 1.141 | noise: 0.289
Iter 1770 | Loss:  301.298 | lengthscale: 366.895 | outputscale: 1.145 | noise: 0.289
Iter 1780 | Loss:  301.164 | lengthscale: 370.179 | outputscale: 1.150 | noise: 0.289
Iter 1790 | Loss:  301.032 | lengthscale: 373.520 | outputscale: 1.154 | noise: 0.289
Iter 1800 | Loss:  300.889 | lengthscale: 376.920 | outputscale: 1.159 | noise: 0.289
Iter 1810 | Loss:  300.750 | lengthscale: 380.380 | outputscale: 1.164 | noise: 0.289
Iter 1820 | Loss:  300.611 | lengthscale: 383.899 | outputscale: 1.168 | noise: 0.289
Iter 1830 | Loss:  300.476 | lengthscale: 387.478 | outputscale: 1.173 | noise: 0.289
Iter 1840 | Loss:  300.327 | lengthscale: 391.117 | outputscale: 1.178 | noise: 0.289
Iter 1850 | Loss:  300.188 | lengthscale: 394.815 | outputscale: 1.183 | noise: 0.289
Iter 1860 | Loss:  300.041 | lengthscale: 398.571 | outputscale: 1.187 | noise: 0.289
Iter 1870 | Loss:  299.897 | lengthscale: 402.383 | outputscale: 1.192 | noise: 0.289
Iter 1880 | Loss:  299.755 | lengthscale: 406.252 | outputscale: 1.197 | noise: 0.289
Iter 1890 | Loss:  299.604 | lengthscale: 410.174 | outputscale: 1.202 | noise: 0.289
Iter 1900 | Loss:  299.459 | lengthscale: 414.146 | outputscale: 1.207 | noise: 0.289
Iter 1910 | Loss:  299.313 | lengthscale: 418.167 | outputscale: 1.212 | noise: 0.289
Iter 1920 | Loss:  299.165 | lengthscale: 422.234 | outputscale: 1.218 | noise: 0.289
Iter 1930 | Loss:  299.021 | lengthscale: 426.342 | outputscale: 1.223 | noise: 0.289
Iter 1940 | Loss:  298.878 | lengthscale: 430.488 | outputscale: 1.228 | noise: 0.289
Iter 1950 | Loss:  298.734 | lengthscale: 434.668 | outputscale: 1.234 | noise: 0.289
Iter 1960 | Loss:  298.589 | lengthscale: 438.877 | outputscale: 1.240 | noise: 0.289
Iter 1970 | Loss:  298.448 | lengthscale: 443.110 | outputscale: 1.245 | noise: 0.289
Iter 1980 | Loss:  298.312 | lengthscale: 447.363 | outputscale: 1.251 | noise: 0.289
Iter 1990 | Loss:  298.173 | lengthscale: 451.630 | outputscale: 1.257 | noise: 0.289
Iter 2000 | Loss:  298.041 | lengthscale: 455.907 | outputscale: 1.264 | noise: 0.289
Iter 2010 | Loss:  297.909 | lengthscale: 460.188 | outputscale: 1.270 | noise: 0.289
Iter 2020 | Loss:  297.780 | lengthscale: 464.469 | outputscale: 1.276 | noise: 0.289
Iter 2030 | Loss:  297.652 | lengthscale: 468.745 | outputscale: 1.283 | noise: 0.289
Iter 2040 | Loss:  297.524 | lengthscale: 473.011 | outputscale: 1.290 | noise: 0.289
Iter 2050 | Loss:  297.410 | lengthscale: 477.262 | outputscale: 1.297 | noise: 0.289
Iter 2060 | Loss:  297.288 | lengthscale: 481.494 | outputscale: 1.304 | noise: 0.289
Iter 2070 | Loss:  297.173 | lengthscale: 485.703 | outputscale: 1.312 | noise: 0.289
Iter 2080 | Loss:  297.059 | lengthscale: 489.885 | outputscale: 1.319 | noise: 0.289
Iter 2090 | Loss:  296.953 | lengthscale: 494.037 | outputscale: 1.327 | noise: 0.289
Iter 2100 | Loss:  296.846 | lengthscale: 498.155 | outputscale: 1.335 | noise: 0.289
Iter 2110 | Loss:  296.745 | lengthscale: 502.237 | outputscale: 1.343 | noise: 0.289
Iter 2120 | Loss:  296.637 | lengthscale: 506.280 | outputscale: 1.352 | noise: 0.289
Iter 2130 | Loss:  296.547 | lengthscale: 510.281 | outputscale: 1.361 | noise: 0.289
Iter 2140 | Loss:  296.448 | lengthscale: 514.238 | outputscale: 1.369 | noise: 0.289
